id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,description,directors,main_characters
384007,le fr re gravet,0.0,0,released,1996-04-01,0,90,False,0,tt0287449,fr,Les frères Gravet,gravet brother meet beaune mother funeral,0.6,,,unknown,unknown,unknown,french,none,gravet brother meet beaune mother funeral,rené féret,"jean-françois stévenin, jacques bonnaffé, robin renucci"
384014,la vie sexuelle de belges partie la jouissance de hyst riques,0.0,0,released,2000-08-30,0,0,False,0,tt0248929,fr,La vie sexuelle des Belges partie 4 - La jouissance des hystériques,overview available,0.877,/ltDg1Nq9OnGOO3wpdvXq9EppsIG.jpg,,unknown,unknown,belgium,french,none,director midlife crisis want start new movie invite twelve actress flat brussels every actress try convince talent director try seduce time,jan bucquoy,"jan bucquoy, marie bucquoy, natacha drion"
384022,love potion,0.0,0,released,1987-01-01,0,0,False,0,tt0093442,en,Love Potion,overview available,1.029,/n48SzD3bwkxYsMPzTMGfsVXHcBF.jpg,,thriller,flying high entertainment productions,united kingdom,german,none,delaware female drug addict join drug rehabilitation program special clinic doctor method seem unorthodox,julian doyle,"nancy paul, john rowe, robert ashby"
221771,en f r lskelse,0.0,0,released,2001-02-22,0,94,False,0,tt0268313,sv,En förälskelse,couple anna simon move eskilstuna youngest son gunnar simon begin affair ingrid,1.091,/o9KSXQF7ssuYlhXn2HurhFBAB1D.jpg,,"drama, romance",filmarehn,sweden,swedish,none,anna simon move eskilstuna simon fall love ingrid married kurre ingrid simon affair soon discovered wreck marriage,mats arehn,"peter haber, nina gunke, lena t. hansson"
384031,punyam aham,0.0,0,released,2010-01-22,0,0,False,0,tt1838630,ml,പുണ്യം അഹം,punyam aham set small village northern kerala protagonist narayan unni prithviraj sukumaran young man brahmin father low caste mother separated leaving mother raise alone film tell story unni leaving home searching identity repeating many father mistake life based story traditional folklore naranath bhranthan father vararuchi,0.875,/6wtROAZYMvGdkqtJfTw2NXv8Cd8.jpg,,drama,unknown,india,malayalam,none,narayanan life small village mother separated brahmin father many year ago set discover identity society dictated caste difference,raj nair,"said alharbi, m.r. gopakumar, nedumudi harikumar"
383915,off by heart,0.0,0,released,2009-05-22,0,90,False,0,tt1445706,en,Off by Heart,documentary directed antonia bird,0.6,,,documentary,silver river productions,united kingdom,english,woman director,description available,antonia bird,ben crick
221807,listen america,0.0,0,released,1968-07-01,0,53,False,0,tt0383465,en,"Listen, America!",edouard de laurot freewheeling compilation image idea late counterculture,0.6,/ct2eFga6M4IzRDU9NlFaxedg3tI.jpg,,unknown,unknown,unknown,unknown,none,description available,edouard de laurot,"edouard de laurot, rip torn"
383795,parole,0.0,0,released,2010-12-04,0,23,False,0,tt1854562,en,Paroles,nightly meeting imply return return make departure whole lot easier,0.642,,,unknown,unknown,unknown,unknown,none,description available,gilles coulier,"gilles de schryver, sam louwyck, angelo tijssens"
383768,the pit a study in horror,0.0,0,released,2013-01-01,0,8,False,0,tt2870772,en,The Pit: A Study in Horror,short experimental horror film deconstructs nature creature feature minus actual creature,0.6,,,horror,unknown,canada,english,woman director,short experimental horror film deconstructs nature creature feature minus actual creature,"karen lam, lauren marsden",unknown
383777,saihu the dog,0.0,0,released,1982-01-01,0,90,False,0,tt6422846,zh,赛虎,day liberation china young boy question landlord right enslave peasant girl working land help loyal dog saihu meaning racing tiger boy save girl landlord son break bond slavery,0.84,/j0btUeCWExomCkpTdvwTdlqvYwT.jpg,,drama,xiaoxiang film studio,china,mandarin,german shepherd,story set agrarian revolutionary period brave boy smart loyal dog rescue father evil landlord dungeon,"yongzuang hua, zhen luo","hao li, yigong zhao, kangning he"
383778,sinatra and friend,0.0,0,released,1977-04-20,0,50,False,0,tt0424445,en,Sinatra and Friends,sinatra friend television special aired april featuring contemporary artist john denver natalie cole well dean martin tony bennett loretta lynn leslie uggams robert merrill sinatra performs duet standard different style folk disco addition singer performing solo,0.957,/ex3T73oPJyeJRloiLHtWWYromQw.jpg,,unknown,unknown,unknown,unknown,none,sinatra friend open featuring natalie cole john denver tony bennett loretta lynn leslie uggams robert merrill sinatra performs duet standard different style folk disco add,bill davis,"frank sinatra, tony bennett, natalie cole"
